epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,21252.5,0.62362,0.59366,1.05892,0.68362,0.5315,0.56609,0.41046,1.20465,1.64492,1.63458,0.000363075,0.000363075,0.000363075
70,21580.8,0.62183,0.59669,1.05306,0.63655,0.51265,0.5583,0.41009,1.21911,1.71703,1.63895,0.000352076,0.000352076,0.000352076
71,21908.3,0.59775,0.56841,1.03838,0.60612,0.53327,0.58065,0.41932,1.22026,1.65541,1.65413,0.000341077,0.000341077,0.000341077
72,22237.4,0.59471,0.56322,1.04141,0.61124,0.53682,0.53395,0.38572,1.21232,1.76801,1.62964,0.000330078,0.000330078,0.000330078
73,22570.7,0.5931,0.54819,1.0432,0.60942,0.56915,0.58899,0.44594,1.20888,1.66071,1.61282,0.000319079,0.000319079,0.000319079
74,22895.5,0.58723,0.54758,1.03448,0.62955,0.52889,0.56626,0.40577,1.20789,1.74666,1.645,0.00030808,0.00030808,0.00030808
75,23217.4,0.5822,0.53097,1.03681,0.55741,0.61941,0.57448,0.41976,1.20087,1.83675,1.62422,0.000297081,0.000297081,0.000297081
76,23543.6,0.57351,0.5177,1.03019,0.63621,0.52667,0.55807,0.40998,1.21906,1.75076,1.61829,0.000286083,0.000286083,0.000286083
77,23874.1,0.57172,0.52909,1.02196,0.65509,0.5485,0.56896,0.41547,1.19792,1.73795,1.63031,0.000275084,0.000275084,0.000275084
78,24197.2,0.5677,0.51302,1.02934,0.59252,0.54577,0.55587,0.41405,1.16861,1.73767,1.58296,0.000264085,0.000264085,0.000264085
79,24525.5,0.57724,0.54159,1.03866,0.61757,0.5725,0.56102,0.41327,1.18147,1.63665,1.60801,0.000253086,0.000253086,0.000253086
80,24843,0.56391,0.54131,1.02151,0.59797,0.59635,0.56498,0.42006,1.17018,1.63863,1.60597,0.000242087,0.000242087,0.000242087
81,25132.7,0.56377,0.51049,1.01696,0.61981,0.5571,0.54962,0.40843,1.19466,1.79057,1.59301,0.000231088,0.000231088,0.000231088
82,25449.8,0.54514,0.49952,1.01843,0.61901,0.55945,0.56184,0.41779,1.19742,1.72812,1.61439,0.000220089,0.000220089,0.000220089
83,25749.1,0.54951,0.51234,1.02166,0.62,0.55768,0.55768,0.41472,1.17524,1.70046,1.59504,0.00020909,0.00020909,0.00020909
84,26057.9,0.55222,0.49585,1.02178,0.68522,0.54665,0.56226,0.42874,1.18338,1.76784,1.58796,0.000198091,0.000198091,0.000198091
85,26374.9,0.54815,0.50255,1.02049,0.61896,0.53618,0.55252,0.41075,1.20789,1.71183,1.63272,0.000187092,0.000187092,0.000187092
86,26668.7,0.53105,0.49422,1.00498,0.6175,0.55604,0.55573,0.41011,1.22068,1.78342,1.61249,0.000176094,0.000176094,0.000176094
87,26958.7,0.53409,0.49074,0.99635,0.64143,0.54339,0.56508,0.40998,1.21216,1.75338,1.63168,0.000165095,0.000165095,0.000165095
88,27250.4,0.53727,0.49202,1.00612,0.61048,0.5709,0.57582,0.43019,1.18359,1.70399,1.61853,0.000154096,0.000154096,0.000154096
89,27539,0.5097,0.46569,0.99844,0.63551,0.56312,0.5655,0.42418,1.19781,1.73716,1.59086,0.000143097,0.000143097,0.000143097
90,27832.7,0.51835,0.47561,0.99602,0.64486,0.52628,0.55609,0.41295,1.20521,1.7174,1.62953,0.000132098,0.000132098,0.000132098
91,28120.6,0.46395,0.39294,0.94354,0.67273,0.56622,0.5772,0.41983,1.22693,1.72498,1.66371,0.000121099,0.000121099,0.000121099
92,28409.1,0.45228,0.38661,0.95748,0.59593,0.58922,0.56083,0.4221,1.19072,1.69432,1.62392,0.0001101,0.0001101,0.0001101
93,28701.1,0.44121,0.36705,0.93644,0.66082,0.56132,0.57797,0.43414,1.19375,1.63283,1.59976,9.91012e-05,9.91012e-05,9.91012e-05
94,28988.7,0.42081,0.35197,0.93714,0.63321,0.56216,0.56588,0.42623,1.20307,1.73376,1.61902,8.81023e-05,8.81023e-05,8.81023e-05
95,29277.3,0.43499,0.34066,0.93649,0.62374,0.59773,0.56139,0.42458,1.19165,1.72493,1.63339,7.71034e-05,7.71034e-05,7.71034e-05
96,29566.2,0.41808,0.33543,0.92124,0.63254,0.56454,0.56951,0.43698,1.17871,1.66326,1.62065,6.61045e-05,6.61045e-05,6.61045e-05
97,29858,0.40274,0.33433,0.91446,0.63143,0.57298,0.56773,0.43411,1.17125,1.69754,1.6301,5.51056e-05,5.51056e-05,5.51056e-05
98,30172,0.4113,0.33587,0.92111,0.63729,0.55595,0.57258,0.43621,1.17016,1.70088,1.62819,4.41067e-05,4.41067e-05,4.41067e-05
99,30481.5,0.40729,0.3277,0.92021,0.633,0.55691,0.56866,0.43319,1.16992,1.71905,1.62743,3.31078e-05,3.31078e-05,3.31078e-05
100,30768.8,0.40211,0.32646,0.91896,0.6189,0.55859,0.57545,0.43915,1.16738,1.71024,1.63464,2.21089e-05,2.21089e-05,2.21089e-05
